#  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
-30.6674  34.8854  267.166   96  3.4879E+00  2.2903E+00
-30.7553  35.0175  267.166   97  3.4998E+00  2.3486E+00
-30.8482  35.1593  267.166   98  3.5123E+00  2.4072E+00
-30.9447  35.3062  267.104   99  3.5266E+00  2.4659E+00
-31.0400  35.4500  266.982  100  3.5415E+00  2.5250E+00
-31.1351  35.5941  266.860  101  3.5559E+00  2.5842E+00
-31.2301  35.7385  266.738  102  3.5704E+00  2.6437E+00
-31.3248  35.8832  266.617  103  3.5850E+00  2.7035E+00
-31.4195  36.0282  266.495  104  3.5996E+00  2.7635E+00
-31.5139  36.1735  266.373  105  3.6139E+00  2.8237E+00
-31.6082  36.3190  266.252  106  3.6281E+00  2.8842E+00
-31.7024  36.4649  266.130  107  3.6422E+00  2.9449E+00
-31.7963  36.6111  266.008  108  3.6563E+00  3.0058E+00
-31.8901  36.7575  265.886  109  3.6705E+00  3.0670E+00
-31.9837  36.9043  265.764  110  3.6845E+00  3.1284E+00
-32.0772  37.0513  265.642  111  3.6973E+00  3.1900E+00
-32.1705  37.1987  265.520  112  3.7110E+00  3.2519E+00
-32.2636  37.3463  265.398  113  3.7246E+00  3.3140E+00
-32.3565  37.4943  265.276  114  3.7383E+00  3.3763E+00
-32.4492  37.6425  265.155  115  3.7519E+00  3.4388E+00
-32.5418  37.7911  265.033  116  3.7655E+00  3.5015E+00
-32.6342  37.9400  264.911  117  3.7792E+00  3.5645E+00
-32.7264  38.0891  264.789  118  3.7929E+00  3.6277E+00
-32.8185  38.2386  264.668  119  3.8066E+00  3.6912E+00
-32.9104  38.3884  264.547  120  3.8202E+00  3.7549E+00
-33.0020  38.5385  264.426  121  3.8337E+00  3.8188E+00
-33.0935  38.6889  264.305  122  3.8458E+00  3.8829E+00
-33.1849  38.8396  264.184  123  3.8579E+00  3.9472E+00
-33.2760  38.9906  264.063  124  3.8702E+00  4.0117E+00
-33.3669  39.1420  263.943  125  3.8824E+00  4.0764E+00
-33.4577  39.2936  263.822  126  3.8946E+00  4.1413E+00
-33.5483  39.4456  263.701  127  3.9070E+00  4.2064E+00
-33.6387  39.5979  263.580  128  3.9193E+00  4.2717E+00
-33.7288  39.7505  263.460  129  3.9316E+00  4.3372E+00
-33.8189  39.9034  263.339  130  3.9439E+00  4.4030E+00
-33.9087  40.0567  263.218  131  3.9563E+00  4.4689E+00
-33.9983  40.2102  263.097  132  3.9686E+00  4.5351E+00
-34.0877  40.3641  262.976  133  3.9796E+00  4.6014E+00
-34.1770  40.5183  262.855  134  3.9910E+00  4.6679E+00
-34.2660  40.6729  262.734  135  4.0025E+00  4.7346E+00
-34.3548  40.8277  262.613  136  4.0140E+00  4.8015E+00
-34.4435  40.9829  262.492  137  4.0255E+00  4.8686E+00
-34.5319  41.1385  262.372  138  4.0373E+00  4.9359E+00
-34.6202  41.2943  262.251  139  4.0492E+00  5.0034E+00
-34.7082  41.4505  262.131  140  4.0612E+00  5.0711E+00
-34.7961  41.6070  262.011  141  4.0734E+00  5.1389E+00
-34.8837  41.7638  261.891  142  4.0857E+00  5.2070E+00
-34.9711  41.9210  261.771  143  4.0981E+00  5.2753E+00
-35.0584  42.0785  261.651  144  4.1102E+00  5.3438E+00
-35.1454  42.2364  261.531  145  4.1220E+00  5.4125E+00
-35.2322  42.3945  261.411  146  4.1338E+00  5.4814E+00
-35.3188  42.5531  261.292  147  4.1456E+00  5.5505E+00
-35.4052  42.7119  261.172  148  4.1575E+00  5.6198E+00
-35.4914  42.8711  261.053  149  4.1694E+00  5.6893E+00
-35.5774  43.0306  260.933  150  4.1814E+00  5.7590E+00
-35.6632  43.1905  260.813  151  4.1940E+00  5.8289E+00
-35.7487  43.3507  260.693  152  4.2066E+00  5.8990E+00
-35.8340  43.5113  260.574  153  4.2191E+00  5.9693E+00
-35.9192  43.6722  260.454  154  4.2317E+00  6.0399E+00
-36.0041  43.8334  260.334  155  4.2442E+00  6.1106E+00
-36.0887  43.9950  260.214  156  4.2556E+00  6.1815E+00
-36.1732  44.1570  260.094  157  4.2666E+00  6.2526E+00
-36.2575  44.3193  259.974  158  4.2778E+00  6.3239E+00
-36.3415  44.4819  259.854  159  4.2890E+00  6.3954E+00
-36.4253  44.6449  259.734  160  4.3002E+00  6.4671E+00
-36.5088  44.8082  259.614  161  4.3114E+00  6.5389E+00
-36.5922  44.9719  259.494  162  4.3226E+00  6.6110E+00
-36.6753  45.1359  259.375  163  4.3356E+00  6.6832E+00
-36.7582  45.3003  259.255  164  4.3490E+00  6.7557E+00
-36.8409  45.4651  259.135  165  4.3625E+00  6.8284E+00
-36.9233  45.6302  259.015  166  4.3762E+00  6.9014E+00
-37.0055  45.7956  258.895  167  4.3900E+00  6.9745E+00
-37.0875  45.9615  258.775  168  4.4040E+00  7.0479E+00
-37.1692  46.1276  258.656  169  4.4161E+00  7.1215E+00
-37.2507  46.2941  258.536  170  4.4276E+00  7.1953E+00
-37.3320  46.4610  258.417  171  4.4391E+00  7.2693E+00
-37.4130  46.6283  258.297  172  4.4506E+00  7.3435E+00
-37.4938  46.7959  258.178  173  4.4620E+00  7.4179E+00
-37.5744  46.9638  258.059  174  4.4735E+00  7.4924E+00
-37.6547  47.1322  257.940  175  4.4856E+00  7.5672E+00
-37.7348  47.3009  257.822  176  4.4978E+00  7.6421E+00
-37.8146  47.4699  257.703  177  4.5101E+00  7.7173E+00
-37.8942  47.6393  257.584  178  4.5223E+00  7.7927E+00
-37.9735  47.8091  257.466  179  4.5345E+00  7.8683E+00
-38.0526  47.9793  257.348  180  4.5477E+00  7.9441E+00
-38.1315  48.1498  257.229  181  4.5613E+00  8.0201E+00
-38.2101  48.3206  257.111  182  4.5748E+00  8.0963E+00
-38.2884  48.4919  256.993  183  4.5884E+00  8.1728E+00
-38.3665  48.6635  256.875  184  4.6019E+00  8.2495E+00
-38.4444  48.8355  256.758  185  4.6154E+00  8.3264E+00
-38.5219  49.0078  256.640  186  4.6288E+00  8.4036E+00
-38.5993  49.1806  256.522  187  4.6431E+00  8.4810E+00
-38.6764  49.3537  256.404  188  4.6574E+00  8.5586E+00
-38.7532  49.5271  256.287  189  4.6716E+00  8.6364E+00
